Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030                                    11.0.61030        
Windows SDK Desktop Headers arm                                                               10.1.18362.1      
vs_SQLClickOnceBootstrappermsi                                                                16.0.28329        
Windows Live UX Platform                                                                      16.4.3528.0331    
DiagnosticsHub_CollectionService                                                              16.1.28901        
Microsoft ODBC Driver 17 for SQL Server                                                       17.2.0.1          
HP EmailSMTP Plugin                                                                           43.0.0.0          
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40660 False                              12.0.40660        
Windows App Certification Kit SupportedApiList x86                                            10.1.18362.1      
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148 False                          9.0.30729.4148    
Microsoft Visual C++ 2010 Redistributable - x86 10.0.30319 False                              10.0.30319        
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664                                 12.0.40664        
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17 False                            9.0.30729         
Microsoft .NET Native SDK                                                                     15.0.24211.07     
Windows IoT Extension SDK                                                                     10.1.18362.1      
Windows Desktop Extension SDK                                                                 10.1.18362.1      
HP DeskJet 1110 series Ayuda                                                                  35.0.0            
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40649 False                           12.0.40649        
Windows Desktop Extension SDK Contracts                                                       10.1.18362.1      
Windows SDK Modern Versioned Developer Tools                                                  10.1.18362.1      
Windows Team Extension SDK                                                                    10.1.18362.1      
HP FTP Plugin                                                                                 43.0.0.0          
VS Script Debugging Common                                                                    16.0.98.0         
Windows SDK for Windows Store Apps DirectX x86 Remote                                         10.1.18362.1      
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30411 False                               9.0.30411         
Microsoft .NET Framework 4.7.2 Targeting Pack                                                 4.7.03062         
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030                                    11.0.61030        
Windows SDK Desktop Libs arm64                                                                10.1.18362.1      
Microsoft .NET Framework 4.8 SDK (español)                                                    4.8.03761         
Windows SDK Desktop Headers x64                                                               10.1.18362.1      
Visual C++ Library CRT Desktop Appx Package                                                   14.24.28314       
Windows SDK Modern Non-Versioned Developer Tools                                              10.1.18362.1      
Windows App Certification Kit Native Components                                               10.1.18362.1      
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.4148.0 False                        9.0.30729.4148    
Microsoft Visual C++ 2005 Redistributable - x86 8.0.51011 False                               8.0.51011         
Photo Gallery                                                                                 16.4.3528.0331    
Windows Simulator                                                                             16.0.28522        
Windows SDK Desktop Headers arm64                                                             10.1.18362.1      
Windows SDK Desktop Headers x86                                                               10.1.18362.1      
vcpp_crt.redist.clickonce                                                                     14.24.28127       
Microsoft Azure Compute Emulator - v2.9.6                                                     2.9.8899.26       
Microsoft .NET Core Toolset 3.1.101 (x64)                                                     12.16.31232       
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17 False                            9.0.30729         
Visual C++ Library CRT Desktop Appx Package                                                   14.24.28314       
icecap_collection_x64                                                                         16.4.29430        
MSVCRT110_amd64                                                                               16.4.1109.0912    
Microsoft UniversalWindowsPlatform SDK                                                        15.9.11           
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.0 False                             9.0.30729         
IIS 10.0 Express                                                                              10.0.03203        
Windows SDK Desktop Libs arm                                                                  10.1.18362.1      
Java Auto Updater                                                                             2.8.11.12         
Movie Maker                                                                                   16.4.3528.0331    
Microsoft SQL Server 2016 LocalDB                                                             13.1.4001.0       
WinRT Intellisense Mobile - en-us                                                             10.1.18362.1      
Photo Common                                                                                  16.4.3528.0331    
Windows SDK for Windows Store Apps Headers                                                    10.1.18362.1      
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.51106 False                              11.0.51106        
Microsoft Visual C++ 2005 Redistributable - x86 8.0.50727.42 False                            8.0.50727.42      
Microsoft .NET Core Host FX Resolver - 3.1.1 (x86)                                            24.68.28408       
Microsoft System CLR Types para SQL Server 2019 CTP2.2                                        15.0.1200.24      
Universal CRT Redistributable                                                                 10.1.18362.1      
Entity Framework 6.2.0 Tools  for Visual Studio 2019                                          6.2.0.0           
Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022.218 False                           9.0.21022.218     
WinAppDeploy                                                                                  10.1.18362.1      
Windows Team Extension SDK Contracts                                                          10.1.18362.1      
WinRT Intellisense Desktop - Other Languages                                                  10.1.18362.1      
vs_communitymsires                                                                            16.0.28329        

___________________
Firma del encargado
